"title";"reference";"requirements";"hours";"tasks";"activities";"location";"salary";"type";"period";"link"
"11";"Colaborador/s English Lab";"51357";"Datos de interés, Inglés, Estancias en el extranjero, Estancias en el extranjero, Estancias en el extranjero, Grado de Estudios Ingleses";"2";"Coordinación e implementación de actividades de conversación en inglés para la comunidad universitaria.Apoyo a los usuarios en la utilización de materiales/programario de auto-aprendizaje en el aula.Difusión de las actividades de l'English Lab";"Docència Anglès";"Palma";"180";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 31/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51357.html?locale=es"
"12";"Ayudante de jefe de obra";"51353";"Datos de interés, Autocad, Grado de Ingeniería de Edificación, Inglés";"4";"Somos una empresa joven y buscamos una persona que quiera crecer con nosotros con ilusión y ganas. Las funciones a ejecutar serán las de ayudante de jefe de obra. Trabajará tanto haciendo mediciones y presupuestos, seguimiento y control técnico de obra, producción, etc.";"CONSTRUCCIÓN";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"04/03/2019 - 30/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51353.html?locale=es"
"13";"Prácticas Servicios Técnicos";"51350";"Datos de interés, Grado de Ingeniería de Edificación";"5";"- Preventivos técnico-legales de las instalaciones en el sector terciario- Gestión en las siguientes áreas: energética, administrativa de contratos con empresas externas, de recursos humanos y de prevención de riegos laborales- Apoyo en la coordinación de proyectos del hotel y Palau de Congressos";"Hoteleria";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"25/02/2019 - 02/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51350.html?locale=es"
"14";"DOIP";"51339";"Datos de interés, Catalán, Grado de Pedagogía, Grado de Psicología, Máster U. en Gestión de Recursos Humanos. Interv. Psicológica y Pedagógica";"4";"Apoyo al Departamento de Orientación e Inserción Profesional: atención a usuarios y empresas, gestión de ofertas de trabajo, gestión de ofertas de prácticas, otras tareas propias del DOIP.";"Activitats diverses associatives";"Palma";"456.94";"Prácticas para estudiantes universitarios grado y postgrado";"15/02/2019 - 23/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51339.html?locale=es"
"15";"Substitución profesor de Ciencias a ESO";"51292";"Datos de interés, Catalán, Licenciatura en matemáticas, Licenciatura en física, Licenciatura en bioquímica, Licenciatura en biología, Licenciatura en química, Grado de Matemáticas, Grado de Física, Grado de Bioquímica, Grado de Biología, Grado de Química, Màster Universitario en Formación del Profesorado";;"Profesor de matemáticas de 3.º y 4.º de ESO, Física y química de 3.º y 4.º de ESO y Tecnología a 2.º, 3.º y 4.º de ESO.";"Educació";"Palma";"Segons conveni";"Oferta laboral";"16/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51292.html?locale=es"
"16";"Beca en Activación de Nuevos Suministros";"51258";"Datos de interés, Grado de Ingeniería Electrónica Industrial y Automática";"5";"- Soporte en la recepción de documentación y elaboración de carpetas de fincas.- Soporte alta en sistemas de nuevos puntos de suministro.- Seguimiento de generación de solicitudes de alta.- Control de plazos de activación.- Soporte en el ciclo comercial en actividad de alta de suministro.";"Canalización y Distribución de Gas Natural";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"04/02/2019 - 02/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51258.html?locale=es"
"17";"Junior Audit";"51102";"Datos de interés, Grado de Administración de Empresas, Grado de Economía, Doble titulación: grado de administración de empresas y grado de derecho, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de economia y grado de turismo, Licenciatura en administración y dirección de empresas, Licenciatura en economía, Máster Universitario en Contabilidad y Auditoria";;"-Asumir la importancia de cumplir las prioridades en materia de auditoría y asesoramiento sobre riesgos que responden a los requisitos explícitos de los grupos de interés.-Ser consciente de los procesos de evaluación del riesgo y de la información previa clave sobre la entidad y el sector, y comprender su repercusión en el trabajo que se lleva a cabo.-Trabajar eficazmente en equipo para llevar a cabo la auditoría y entender cómo se enmarca tu función en el equipo de trabajo.";"Serveis professionals d'Adutoria i Consultoria.";"";"A convenir";"Oferta laboral";"01/10/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51102.html?locale=es"
"18";"Gestor de Mantenimiento y Servicios";"51090";"Datos de interés, Ingeniería técnica industrial, Grado de Ingeniería Electrónica Industrial y Automática";;"• Supervisión de gestión y recepción de obras y nuevas instalaciones.• Revisión de presupuestos y licitaciones de servicios.• Gestión de servicios y análisis de KPIs.• Gestión de contratos y empresas de servicios • Seguimiento de normativa de salud laboral y prevención de riesgos laborales.• Visitas de inspección a inmuebles, revisiones de obras e inspección de servicios.";"Workplace Solutions";"";"-";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51090.html?locale=es"
"19";"Becario/a- Junior Auditoria Deloitte";"51002";"Datos de interés, Grado de Administración de Empresas, Grado de Economía, Grado de Derecho, Máster Universitario en Contabilidad y Auditoria";"5";"Apoyará a las tareas de la línea de servicio de Auditoría, llevando a cabo procedimientos, técnicas y metodologías dentro el campo de la revisión contable y del asesoramiento empresarial. Colaborará en tareas administrativas de los diferentes proyectos y ayudará en la redacción de informes.Las prácticas se realizarán en la empresa Deloitte.";"Serveis professionals d'Adutoria i Consultoria.";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 31/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51002.html?locale=es"
"20";"Profesor de economía y contabilidad";"16619";"NA";;;"ACADEMIA DE FORMACIÓN";"Palma";;;"30/01/2019 - 28/02/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-16619.html?locale=es"
"21";"Family Banker Banco Mediolanum";"51364";"Datos de interés, Castellano, Microsoft Excel, Grado de Administración de Empresas, Grado de Estadística, Grado de Ciencias Empresariales, Grado de Economía, Diplomatura en ciencias empresariales, Diplomatura en márketing y gestión empresarial, Licenciatura en administración y dirección de empresas, Licenciatura en derecho, Licenciatura en economía, Dirección de Empresas, Asesoría Financiera y Gestión Patrimonial, Máster Universitario en Gestión, Organización y Economia de la Empresa, Inglés, Italiano, Alemán, Catalán, Asesor/a fiscal, Abogado/a, Agente de desarrollo local, Agente de la propiedad inmobiliaria, Economista, Gerente, Vendedor/a, Miembro del Consejo de estudiantes de la UIB";;"Nuestro gran valor diferencial: el Family Banker®. Y ahora tú puedes ser uno de ellos.Un Family Banker® es mucho más que un asesor: es un coach financiero que apoya a sus clientes en la consecución de sus metas. Un profesional de las finanzas, responsable de realizarun seguimiento continuo y un acompañamiento constante.Nuestros Family Bankers® se caracterizan por ser profesionales autónomos, con el principal objetivo de crear una cartera de clientes, asesorarla y desarrollarla.Para ello, Banco Mediolanum te ofrece:- El respaldo del banco español más solvente.- Una amplísima gama de productos y servicios bancarios, capaces de responder a cualquier exigencia de un ahorrador.- Un modelo de formación permanente e individualizada con la colaboración de la Universidad Corporativa del Grupo Mediolanum, permitiéndote obtener la certificación de Operador de Banca Seguros y la certificación EFA (European Financial Advisor) de la EFPA.- Amplio apoyo en comunicación y medios técnicos para el desarrollo de tu actividad.- Plan de Carrera. Podrás elegir entre la Ruta Profesional (para consolidarse en el tiempo como gestor de la relación con los clientes) o la Ruta Empresarial (para transferir sus conocimientos y guiar a nuevos Family Bankers®, enseñándoles la profesión).Banco Mediolanum te va a cambiar la vida¿Te apetece un cambio?";"Banca";"";"variable";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51364.html?locale=es"
"22";"Contable";"51363";"Datos de interés, Licenciatura en administración y dirección de empresas, Grado de Administración de Empresas, Licenciatura en economía, Grado de Economía, Diplomatura en ciencias empresariales, Inglés";;"- Contabilidad- Asesoria fiscal- Gestión documental- Presentación de impuestos.";"Asesoria fiscal, contable y legal";"Calvià";"1200";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51363.html?locale=es"
"23";"Profesional Sanitario / Enfermero/a / Auxiliar de enfermería";"51362";"Datos de interés, Inglés, Diplomatura en enfermería, Grado de Enfermería";;"La enfermera/o, auxiliar de enfermería, profesional sanitario de la Academia Rafa Nadal, bajo la supervisión del Director de Sports Desk & Health de la Academia y en coordinación con los servicios médicos y de salud RNA Sport Health y el director médico, es responsable de supervisar las necesidades de salud de nuestros/as jóvenes jugadores/as.Entre sus principales tareas está el asegurar su bienestar, realizar primeras tareas de cribaje, curas o asistencias, coordinar citas médicas, supervisar sus tratamientos médicos/pautas farmacológicas de una manera organizada y profesional durante la estancia de los jugadores con nosotros y compartir la información de diagnóstico con sus familias.Tareas y habilidades-Capacidad de trabajo en equipo y gestión organizativa. El equipo de salud de RNA Sport Health está integrado por médicos, fisioterapeutas, preparadores físicos, nutricionista, re-adaptadores y especialistas que aseguran un tratamiento 360 de las necesidades del jugador.-Habilidades de comunicación oral y escrita-Capacidad de comunicarse y dar apoyo a los/as niños/as-Proveer primeros auxilios de emergencia si fuera necesario";"Instalaciones deportivas";"Manacor";"A concretar";"Oferta laboral";"04/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51362.html?locale=es"
"24";"Administrador/a Linux / Backend developer";"51360";"Datos de interés, Grado de Ingeniería de Sistemas de Información, Grado de Ingeniería en Informática de Gestión, Grado de Ingeniería Informática, Grado en Ingeniería en Informática de Sistemas, Ingeniería técnica en informática de gestión, Ingeniería técnica en informática de sistemas, Ingeniería en informática, Grado de Ingeniería Telemática, Ingeniería técnica de Telecomunicaciones especialidad en Sonido e Imágen, Ingeniería técnica en telecomunicación, Ingeniería técnica en telemática, Ingeniería en telecomunicación";;"- APIs HTTP tipo REST- PHP, node.js y/o python. MySQL- Administración e integración de sistemas Linux- Uso de repositorios GIT";"Enginyeria Sistemes Informació";"";"18000-24000";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51360.html?locale=es"
"25";"Fraude y Pagos para dpto Checkout";"51355";"Datos de interés, Grado de Ingeniería Informática, Grado de Ingeniería Telemática";"5";"-Programación: C# .Net SQL-Análisis de datos: Qlikview-Monitorización: Kibana";"Desenvolupament tecnològic";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"11/02/2019 - 31/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51355.html?locale=es"
"26";"Becario/a de informática";"51352";"Datos de interés, Grado de Ingeniería Informática";"4";"Asistencia al responsable informático de la Corporación en todo el mantenimiento y desarrollo informático (software, hardware y redes).Programación de la adaptación de una herramienta informática existente a nuevos requerimientos.";"COL·LEGI PROFESSIONAL";"Palma";"380";"Prácticas para estudiantes universitarios grado y postgrado";"04/02/2019 - 09/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51352.html?locale=es"
"27";"Pràctiques empresa FTTH";"51332";"Datos de interés, Grado de Ingeniería Electrónica Industrial y Automática, Grado de Ingeniería Telemática, Máster Universitario en Ingenería Industrial, Autocad";"4";"Diseño de Redes de Telecomunicaciones para servicios de acceso a Internet, Telefonía y Televisión mediante tecnología FTTH (Fiber to the Home)";"Consultoria en telecomunicacions i comunicacions industrials. Enginyeria de projectes de xarxes d'àrea estesa, i desenvolupament de programari de control industrial";"Palma";"500";"Prácticas para estudiantes universitarios grado y postgrado";"04/03/2019 - 04/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51332.html?locale=es"
"28";"Pedagogo/a. Psicopedagogo/a";"51291";"Datos de interés, Licenciatura en pedagogía, Grado de Pedagogía, Licenciatura en psicopedagogía, Maestro/a en educación especial, Maestro/a en audición y lenguaje, Logopeda, Monitor/a educación especial, Profesor/a de educación especial";;"- Reeducaciones del lenguaje- Reeducaciones pedagógicas- Registros- Informes evolutivos por Salud- Propuestas didácticas- Proyectos didácticos- Refuerzo educativo";"Acadèmia d'educació integral, amb un projecte de servei de reeducacions pedagògiques i orientació escolar.";"Palma";"Según convenio";"Oferta laboral";"01/04/2019 - 28/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51291.html?locale=es"
"29";"Arquitecto/a técnico/a en prácticas";"51127";"Datos de interés, Grado de Ingeniería de Edificación, Autocad";"5";"Redacción de proyectos de edificación, memorias, presupuestos.Informes de patologías en edificación.";"Arquitecte";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"21/01/2019 - 21/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51127.html?locale=es"
"30";"Graduado en Edificación Junior";"50978";"Datos de interés, Arquitectura técnica, Grado de Ingeniería de Edificación";;"- Controlar y supervisar la adecuada ejecución de la obra (control del suministro y acopio de materiales, control del personal en obra...).- Prestar apoyo en todo lo necesario al Jefe de Obra y al Encargado de Obra.- Realizar mediciones y planos de replanteo.- Revisar las partidas ejecutadas en obra.- Organizar y planificar las reuniones de seguridad con el coordinador y el técnico de prevención de riesgos laborales.- Realizar informes de subsanación de incidencias en obra.";"Desarrollo de soluciones construcitvas";"Santa Eulària des Riu";"23.320";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50978.html?locale=es"
"31";"Técnico/a Superior Riesgos Laborals";"50898";"Datos de interés, Salud Laboral, Salud Laboral. Ergonomía y Psicosociología Aplicada, Salud Laboral. Higiene Industrial, Salud Laboral. Seguridad en el Trabajo, Máster Universitario en Salud Laboral (Prevención de Riesgos Laborales), Inglés, Técnico/a superior en prevención de riesgos laborales, Microsoft Excel, Microsoft Word";;"Sectores Hostelería, construcción, y comercio, otros.";"Servei de prevenció";"Palma";"21000";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50898.html?locale=es"
"32";"Programador/a Junior";"50862";"Datos de interés, Grado de Ingeniería en Informática de Gestión, Grado en Ingeniería en Informática de Sistemas, Grado de Ingeniería Informática, Ingeniería técnica en informática de gestión, Ingeniería técnica en informática de sistemas, Ingeniería en informática, Grado de Ingeniería Telemática, Ingeniería técnica en telemática, Ingeniería técnica en telecomunicación, Ingeniería en telecomunicación, Doble titulación: grado de matemáticas y ingeniería telemática";;"Necesitamos programadores/as juniors. No es necesaria experiencia. Con la carrera finalizada, conocimientos de HTML, AJAX, Webservices y Javascript y nociones de Java o .NET para incorporarse a un proyecto en una gran empresa de turismo de la isla.";"Serveis informàtics i de Consultoria";"";"18000 - 20000";"Oferta laboral";"04/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50862.html?locale=es"
"33";"Administrativo/a Facturación - Mahón";"50819";"Datos de interés, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de turismo, Diplomatura en ciencias empresariales, Licenciatura en administración y dirección de empresas";;"- Gestión de cobros y facturación - Control de costes - Resolución de incidencias";"Construcció";"Maó";"1200";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50819.html?locale=es"
"34";"Profesor matemáticas bachillerato";"16599";"NA";;;"EDUCACIÓN";"Palma";;;"29/01/2019 - 28/02/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-16599.html?locale=es"
"35";"Auxiliar administrativo/a";"51351";"Datos de interés, Grado de Administración de Empresas, Grado de Relaciones Laborales, Grado de Ciencias Empresariales, Licenciatura en administración y dirección de empresas, Diplomatura en relaciones laborales, Diplomatura en ciencias empresariales";;"- Apoyo en labores de comunicación de altas / bajas / variaciones en TGSS.-Soporte en gestión de contratos y en introducción de trabajadores en la base de datos de nómina.- Utilización de los programas de la administración vinculados al punto anterior, contrat@, certific@ , siltr @, delt @.-Soporte en vencimientos de contratos.- Apoyo en el cálculo de nóminas y liquidaciones.- Apoyo en cálculo de impuestos 111/190- Mecanización de facturas.- Atención al usuario.";"Asesoría contable y fiscal. Seguridad social. Contabilidad autónomos y PYMES.";"Palma";"1100";"Oferta laboral";"18/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51351.html?locale=es"
"36";"Recursos humanos";"51349";"Datos de interés, Grado de Relaciones Laborales, Diplomatura en relaciones laborales, Inglés, Microsoft Excel";;"Tareas y funciones de gestión laboral, recursos humanos y prevención de riesgos laborales";"Instalaciones deportivas";"Manacor";"concretar";"Oferta laboral";"01/02/2019 - 15/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51349.html?locale=es"
"37";"Asesor/ de clientes de oficina MAPFRE Ibiza";"51345";"Datos de interés, Grado de Derecho, Grado de Administración de Empresas, Grado de Psicología, Grado de Turismo, Licenciatura en economía, Grado de Economía, Diplomatura en turismo, Licenciatura en psicología";;"•	Atender los clientes potenciales que acuden a la Oficina pidiendo información para detectar posibles necesidades aseguradoras.•	Ejecutar acciones comerciales telefónicas con el objetivo de reactivar antiguos clientes o anulaciones. •	Tramitar incidencias que afectan a los seguros de los clientes de cartera, mejorar el grado de fidelización y generar nuevas oportunidades de venta a través de la venta cruzada.";"";"Eivissa";"15.653,77";"Oferta laboral";"01/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51345.html?locale=es"
"38";"Asesor/ de clientes de oficina directa";"51343";"Datos de interés, Grado de Derecho, Grado de Administración de Empresas, Grado de Psicología, Grado de Turismo, Licenciatura en economía, Grado de Economía, Diplomatura en turismo, Licenciatura en psicología";;"•	Atender los clientes potenciales que acuden a la Oficina pidiendo información para detectar posibles necesidades aseguradoras.•	Ejecutar acciones comerciales telefónicas con el objetivo de reactivar antiguos clientes o anulaciones. •	Tramitar incidencias que afectan a los seguros de los clientes de cartera, mejorar el grado de fidelización y generar nuevas oportunidades de venta a través de la venta cruzada.";"";"Palma";"15.653,77";"Oferta laboral";"01/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51343.html?locale=es"
"39";"Prácticas RRHH - selección";"51335";"Datos de interés, Grado de Relaciones Laborales, Grado de Pedagogía, Grado de Psicología, Grado de Turismo, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Administración de Empresas, Máster U. en Gestión de Recursos Humanos. Interv. Psicológica y Pedagógica";"5";"Dar apoyo al equipo de selección en:- Reclutamiento de becarios/as para todo EMEA- Organización de Ferias de Empleo.- Organización de planes de inducción para nuevos/as empleados/as.- Organización de entrevistas presenciales.";"turismo";"Palma";"550";"Prácticas para estudiantes universitarios grado y postgrado";"11/02/2019 - 19/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51335.html?locale=es"
"40";"NOC Support Engineer - Satellite Communications";"51132";"Datos de interés, Inglés, Ingeniería en telecomunicación, Ingeniería en informática, Grado de Ingeniería Telemática, Grado de Ingeniería Informática, Doble titulación: grado de matemáticas y ingeniería telemática, Ingeniería técnica en informática de gestión, Ingeniería técnica en informática de sistemas, Ingeniería técnica en telecomunicación, Ingeniería técnica en telemática, Máster Universitario en Ingeniería de Telecomunicación";;"As part of our international team of support engineers, you will be responsible for handling Tier-1 support calls coming from our customers. Our engineers are expected to solve issues that may include specific satellite-related problems, stabilized antenna issues, generic RF issues (cabling, interference etc.) right down to VoIP & networking problems, etc.The team works in shifts (24x7)https://www.youtube.com/watch?v=8DSK6BfnZ2E";"Telecomunicaciones";"Palma";"Según experiencia";"Oferta laboral";"01/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51132.html?locale=es"
"41";"Ice Wave - Departamento de Expansión";"51082";"Datos de interés, Grado de Administración de Empresas, Grado de Economía, Grado de Derecho, Grado de Relaciones Laborales, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de administración de empresas y grado de derecho, Grado de Turismo, Inglés, Alemán";"5";"- Facturación: ayudar al equipo de contabilidad a registrar todas las operaciones.- Redacción de informes: redactar nuevos informes económicos y modificación de los antiguos.- Gestión de atención al cliente: Contacto con nuestros franquiciados.- Control de Stock: controlar los excels donde tenemos registrado todo nuestro stock con productos de franquicia";"Comerç";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"04/02/2019 - 09/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51082.html?locale=es"
"42";"Soporte departamento comercial y Key account Manager";"51333";"Datos de interés, Grado de Turismo, Doble titulación: grado de administración de empresas y grado de turismo, Inglés";"5";"-Dar soporte al departamento comercial en la depuración de base de datos.-Concertar visitas comerciales-Ayuda en la presentación de Demos a clientes potenciales-Soporte al usuario.-Se valorará conocimiento del sector hotelero y apasionado por las nuevas tecnologías.";"Software en modelo SaaS";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 31/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51333.html?locale=es"
